,Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
0,Juventus,"Olympiastadion, Berlin",1,14,6,6,2,0.2,8,1,39%,343,83.3819241982507,286,114.3 km,28,4,11,0,2,0,24
1,Barcelona,"Olympiastadion, Berlin",3,14,8,6,0,0.214,8,0,61%,570,88.5964912280702,505,112.0 km,39,2,15,2,1,0,12
2,Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,22,5,14,3,0.75,8,0,54%,506,90.7114624505929,459,108.8 km,49,5,14,1,2,0,11
3,Juventus,"Estadio Santiago Bernabéu, Madrid",1,19,4,14,1,0.2,8,5,46%,432,85.1851851851852,368,116.3 km,44,3,27,3,2,0,7
4,Bayern,"Football Arena Munich, Munich",3,20,8,8,4,0.33,5,3,53%,599,87.8130217028381,526,114.7 km,55,3,5,1,5,0,19
5,Barcelona,"Football Arena Munich, Munich",2,13,4,8,1,0.214,5,3,47%,494,84.6153846153846,418,113.2 km,39,3,17,4,2,0,12
6,Barcelona,"Camp Nou, Barcelona",3,17,8,7,2,0.214,2,3,47%,448,83.7053571428571,375,114.7 km,61,3,11,3,3,0,15
7,Bayern,"Camp Nou, Barcelona",0,10,0,7,3,0.33,2,2,53%,556,87.7697841726619,488,111.9 km,54,7,21,2,3,0,14
8,Juventus,"Juventus Stadium, Turin",2,12,7,4,1,0.2,1,3,48%,478,89.5397489539749,428,115.7 km,42,7,15,3,4,0,21
9,Real Madrid,"Juventus Stadium, Turin",1,10,3,4,3,0.75,1,1,52%,535,89.3457943925234,478,108.1 km,35,1,11,1,3,0,13
10,Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,23,8,11,4,0.75,10,0,63%,518,92.6640926640927,480,102.9 km,44,3,25,2,2,0,15
11,Atlético,"Estadio Santiago Bernabéu, Madrid",0,15,2,11,2,0.375,10,0,37%,265,78.4905660377359,208,106.0 km,39,4,21,4,4,1,12
12,Monaco,"Stade Louis II, Monaco",0,12,1,7,4,0,6,2,55%,480,84.1666666666667,404,111.8 km,63,3,11,1,2,0,14
13,Juventus,"Stade Louis II, Monaco",0,9,1,7,1,0.2,6,1,45%,391,79.7953964194373,312,117.8 km,61,3,19,4,2,0,17
14,Barcelona,"Camp Nou, Barcelona",2,11,6,4,1,0.214,5,1,54%,741,90.4183535762483,670,115.9 km,44,0,8,3,0,0,11
15,Paris,"Camp Nou, Barcelona",0,9,2,4,3,0.33,5,4,46%,573,88.3071553228621,506,112.0 km,56,7,9,1,1,0,16
16,Bayern,"Football Arena Munich, Munich",6,21,10,5,6,0.33,4,0,53%,502,85.6573705179283,430,114.9 km,61,2,8,0,1,0,19
17,Porto,"Football Arena Munich, Munich",1,6,1,5,0,0,4,1,47%,430,84.8837209302326,365,113.0 km,53,1,21,6,5,1,19
18,Porto,"Estádio do Dragão, Porto",3,7,5,2,0,0,3,1,38%,279,80.6451612903226,225,114.5 km,56,4,28,1,3,0,16
19,Bayern,"Estádio do Dragão, Porto",1,6,3,2,1,0.33,3,1,62%,632,89.0822784810127,563,110.6 km,46,3,8,0,4,0,22
20,Paris,"Parc des Princes, Paris",1,8,4,1,3,0.33,4,6,37%,401,86.5336658354115,347,108.6 km,44,3,8,2,1,0,10
21,Barcelona,"Parc des Princes, Paris",3,9,6,1,2,0.214,4,1,63%,778,90.7455012853471,706,110.8 km,47,5,8,3,2,0,12
22,Juventus,"Juventus Stadium, Turin",1,13,5,7,1,0.2,6,2,60%,612,88.3986928104575,541,114.1 km,51,7,7,2,0,0,7
23,Monaco,"Juventus Stadium, Turin",0,14,5,7,2,0,6,0,40%,325,81.2307692307692,264,108.4 km,53,3,17,1,1,0,15
24,Atlético,"Estadio Vicente Calderón, Madrid",0,8,2,3,3,0.375,7,0,42%,318,75.1572327044025,239,110.0 km,47,4,19,5,3,0,19
25,Real Madrid,"Estadio Vicente Calderón, Madrid",0,16,8,3,5,0.75,7,0,58%,548,84.6715328467153,464,103.3 km,48,3,19,3,2,0,11
26,Dortmund,"BVB Stadion Dortmund, Dortmund",0,10,2,3,5,0.33,5,3,55%,561,88.4135472370767,496,117.8 km,54,5,6,2,1,0,7
